index,filename,width,height,class,xmin,xmax,ymin,ymax
39,TennisBall46.jpg,177,285,TennisBall,56,121,159,228
68,TennisBall82.jpg,278,181,TennisBall,97,143,32,74
105,105.jpg,960,1280,TennisBall,213,684,397,876
160,Serena-Williams-in-action.jpg,1920,1080,TennisBall,1646,1804,0,159
14,TennisBall12.jpg,271,186,TennisBall,121,173,63,112
183,183.jpg,960,1280,TennisBall,286,372,424,508
175,175.jpg,960,1280,TennisBall,522,823,127,435
57,TennisBall66.jpg,315,160,TennisBall,169,243,101,160
196,196.jpg,960,1280,TennisBall,158,251,821,911
198,198.jpg,960,1280,TennisBall,126,283,747,896
25,TennisBall28.jpg,300,168,TennisBall,58,128,45,114
91,91.jpg,960,1280,TennisBall,414,639,575,796
66,TennisBall80.jpg,259,194,TennisBall,45,99,115,162
54,TennisBall63.jpg,311,162,TennisBall,19,115,22,115
185,185.jpg,960,1280,TennisBall,250,422,701,887
167,167.jpg,960,1280,TennisBall,612,655,375,424
115,115.jpg,960,1280,TennisBall,396,573,568,754
180,180.jpg,960,1280,TennisBall,532,797,771,1034
242,242.jpg,960,1280,TennisBall,315,616,515,720
136,136.jpg,960,1280,TennisBall,314,500,513,715
20,TennisBall23.png,259,194,TennisBall,97,165,81,147
75,TennisBall90.jpg,640,349,TennisBall,321,400,245,324
24,TennisBall27.jpg,259,194,TennisBall,36,119,65,144
239,239-0.jpg,960,1280,TennisBall,298,571,614,887
103,103.jpg,960,1280,TennisBall,268,576,479,779
193,193.jpg,960,1280,TennisBall,304,428,449,568
73,TennisBall87.jpg,300,168,TennisBall,191,237,35,78
36,TennisBall42.jpg,297,170,TennisBall,86,112,137,158
182,182.jpg,1280,960,TennisBall,215,418,156,357
29,TennisBall32.jpg,284,177,TennisBall,36,60,14,40
122,122.jpg,960,1280,TennisBall,326,623,462,791
225,228.jpg,1280,960,TennisBall,648,714,417,483
130,130.jpg,960,1280,TennisBall,391,578,464,647
200,200.jpg,960,1280,TennisBall,496,588,565,673
151,151.jpg,960,1280,TennisBall,288,704,393,818
206,206.jpg,960,1280,TennisBall,389,508,527,728
236,239.jpg,1280,960,TennisBall,425,736,332,632
155,155.jpg,1280,960,TennisBall,531,800,308,569
227,230.jpg,960,1280,TennisBall,379,453,669,811
70,TennisBall84.jpg,300,168,TennisBall,131,191,87,150
168,168.jpg,960,1280,TennisBall,617,683,339,406
47,TennisBall55.jpg,300,168,TennisBall,66,84,91,107
28,TennisBall31.jpg,275,183,TennisBall,158,235,58,129
204,204.jpg,960,1280,TennisBall,476,642,588,700
84,84.jpg,1280,960,TennisBall,393,744,165,551
148,148.jpg,960,1280,TennisBall,321,631,432,742
9,TennisBall7.jpg,262,192,TennisBall,62,107,132,178
11,TennisBall9.jpg,266,189,TennisBall,121,144,90,111
133,133.jpg,960,1280,TennisBall,330,630,408,701
50,TennisBall59.jpg,309,163,TennisBall,11,115,51,155
162,162.jpg,960,1280,TennisBall,458,497,552,590
150,150.jpg,960,1280,TennisBall,254,558,419,742
43,TennisBall50.jpg,275,184,TennisBall,145,208,57,112
135,135.jpg,960,1280,TennisBall,357,583,668,911
166,166.jpg,960,1280,TennisBall,275,366,440,540
189,189.jpg,960,1280,TennisBall,648,764,688,800
214,214.jpg,960,1280,TennisBall,443,559,564,701
123,123.jpg,960,1280,TennisBall,297,619,579,901
2,Roger-Federer-in-action.jpg,800,513,TennisBall,57,84,241,265
186,186.jpg,960,1280,TennisBall,561,660,421,522
178,178.jpg,960,1280,TennisBall,743,814,798,864
131,131.jpg,960,1280,TennisBall,342,640,466,775
35,TennisBall41.jpg,253,199,TennisBall,126,164,152,187
101,101.jpg,960,1280,TennisBall,432,630,542,818
64,TennisBall77.jpg,201,250,TennisBall,70,100,27,55
140,140.jpg,960,1280,TennisBall,322,603,416,683
171,171.jpg,1280,960,TennisBall,390,429,338,375
161,161.jpg,960,1280,TennisBall,411,465,484,537
156,156.jpg,960,1280,TennisBall,372,548,478,663
169,169.jpg,960,1280,TennisBall,699,754,366,425
127,127.jpg,960,1280,TennisBall,279,517,590,824
45,TennisBall52.jpg,300,168,TennisBall,180,205,101,128
164,164.jpg,960,1280,TennisBall,147,254,586,686
0,1.jpeg,960,960,TennisBall,126,807,135,810
194,194.jpg,960,1280,TennisBall,297,366,376,445
117,117.jpg,960,1280,TennisBall,415,519,447,554
217,217.jpg,960,1280,TennisBall,399,529,545,708
74,TennisBall88.jpg,321,157,TennisBall,6,32,126,153
3,TennisBall1.jpg,300,168,TennisBall,153,231,49,127
176,176.jpg,960,1280,TennisBall,287,392,322,430
187,187.jpg,960,1280,TennisBall,297,386,365,454
208,208.jpg,960,1280,TennisBall,362,592,507,734
173,173.jpg,960,1280,TennisBall,496,542,578,623
48,TennisBall57.jpg,265,190,TennisBall,119,148,45,73
21,TennisBall24.jpg,408,123,TennisBall,173,252,40,115
118,118.jpg,960,1280,TennisBall,256,638,471,846
230,233.jpg,1280,960,TennisBall,494,547,188,279
235,238.jpg,1280,960,TennisBall,396,697,246,552
79,TennisBall98.jpg,300,168,TennisBall,82,231,0,137
228,231.jpg,1280,960,TennisBall,580,624,182,230
174,174.jpg,960,1280,TennisBall,238,317,312,398
52,TennisBall61.jpg,300,168,TennisBall,211,254,48,88
5,TennisBall3.jpg,225,225,TennisBall,82,189,5,114
224,227.jpg,1280,960,TennisBall,586,662,225,304
158,158.jpg,960,1280,TennisBall,372,682,508,808
125,125.jpg,1280,960,TennisBall,549,889,236,600
221,224.jpg,1280,960,TennisBall,630,667,425,462
144,144.jpg,960,1280,TennisBall,345,554,535,764
238,238-0.jpg,960,1280,TennisBall,359,558,539,735
100,100.jpg,960,1280,TennisBall,344,596,423,600
61,TennisBall74.jpg,194,259,TennisBall,93,147,151,203
129,129.jpg,960,1280,TennisBall,291,546,496,747
6,TennisBall4.jpg,275,183,TennisBall,27,100,64,134
220,221.jpg,1280,960,TennisBall,624,661,420,457
203,203.jpg,960,1280,TennisBall,435,614,577,710
219,220.jpg,960,1280,TennisBall,429,525,565,680
92,92.jpg,960,1280,TennisBall,405,597,590,772
191,191.jpg,960,1280,TennisBall,556,700,415,557
218,219.jpg,960,1280,TennisBall,418,598,517,700
71,TennisBall85.jpg,275,183,TennisBall,115,159,69,115
89,89.jpg,960,1280,TennisBall,312,604,598,908
102,102.jpg,960,1280,TennisBall,314,563,508,772
213,213.jpg,960,1280,TennisBall,385,552,585,684
142,142.jpg,1280,960,TennisBall,564,813,406,666
63,TennisBall76.jpg,287,176,TennisBall,152,197,120,167
1,2.jpeg,1920,1199,TennisBall,892,1620,264,978
15,TennisBall14.jpg,226,223,TennisBall,127,195,72,137
157,157.jpg,960,1280,TennisBall,348,673,385,684
231,234.jpg,960,1280,TennisBall,455,588,402,501
138,138.jpg,960,1280,TennisBall,325,610,512,793
216,216.jpg,960,1280,TennisBall,308,508,555,803
163,163.jpg,960,1280,TennisBall,241,282,379,419
33,TennisBall39.jpg,275,183,TennisBall,122,154,78,111
88,88.jpg,960,1280,TennisBall,299,575,476,748
195,195.jpg,960,1280,TennisBall,118,373,701,952
141,141.jpg,960,1280,TennisBall,201,518,503,799
205,205.jpg,960,1280,TennisBall,462,519,602,745
53,TennisBall62.jpg,290,174,TennisBall,29,163,41,174
210,210.jpg,960,1280,TennisBall,435,526,585,728
31,TennisBall35.jpg,316,160,TennisBall,13,60,16,65
114,114.jpg,960,1280,TennisBall,430,593,520,684
99,99.jpg,960,1280,TennisBall,350,573,499,740
121,121.jpg,960,1280,TennisBall,392,568,565,746
97,97.jpg,960,1280,TennisBall,283,736,479,929
145,145.jpg,1280,960,TennisBall,451,728,369,637
56,TennisBall65.jpg,275,183,TennisBall,113,178,12,79
27,TennisBall30.jpg,275,183,TennisBall,141,190,99,148
237,241.jpg,960,1280,TennisBall,449,580,542,684
120,120.jpg,960,1280,TennisBall,249,681,456,848
108,108.jpg,960,1280,TennisBall,425,628,496,700
201,201.jpg,1280,960,TennisBall,603,755,303,414
83,83.jpg,960,1280,TennisBall,215,642,416,857
87,87.jpg,960,1280,TennisBall,354,690,445,777
19,TennisBall20.jpg,259,194,TennisBall,101,208,0,90
154,154.jpg,960,1280,TennisBall,243,595,480,847
76,TennisBall92.jpg,299,168,TennisBall,225,271,53,94
32,TennisBall37.jpg,257,196,TennisBall,104,128,159,184
13,TennisBall11.jpg,275,183,TennisBall,66,206,41,174
42,TennisBall49.jpg,299,168,TennisBall,144,245,52,145
199,199.jpg,960,1280,TennisBall,623,712,388,480
69,TennisBall83.jpg,275,183,TennisBall,73,131,115,172
82,82.jpg,960,1280,TennisBall,402,555,529,686
96,96.jpg,1280,960,TennisBall,443,736,335,635
106,106.jpg,960,1280,TennisBall,424,574,452,610
58,TennisBall70.jpg,275,183,TennisBall,118,183,83,149
18,TennisBall19.jpg,299,168,TennisBall,96,181,91,150
190,190.jpg,960,1280,TennisBall,517,593,493,569
147,147.jpg,960,1280,TennisBall,358,651,427,716
207,207.jpg,960,1280,TennisBall,456,530,657,791
